simulation,Spain,Argentina,France,England,Brazil
101,22.772277227722775,18.81188118811881,9.900990099009901,11.881188118811881,3.9603960396039604
102,22.54901960784314,18.627450980392158,9.803921568627452,12.745098039215685,3.9215686274509802
103,22.330097087378643,19.41747572815534,9.70873786407767,12.62135922330097,3.8834951456310676
104,22.115384615384613,19.230769230769234,10.576923076923077,12.5,3.8461538461538463
105,21.904761904761905,19.047619047619047,10.476190476190476,12.380952380952381,3.8095238095238098
106,21.69811320754717,19.81132075471698,10.377358490566039,12.264150943396226,3.7735849056603774
107,21.49532710280374,19.626168224299064,10.2803738317757,12.149532710280374,3.7383177570093453
108,21.296296296296298,20.37037037037037,10.185185185185185,12.037037037037036,3.7037037037037033
109,21.100917431192663,21.100917431192663,10.091743119266056,11.926605504587156,3.669724770642202
110,20.909090909090907,20.909090909090907,10.0,11.818181818181818,3.6363636363636362
111,20.72072072072072,21.62162162162162,9.90990990990991,11.711711711711711,3.6036036036036037
112,20.535714285714285,21.428571428571427,9.821428571428571,11.607142857142858,3.571428571428571
113,21.238938053097346,21.238938053097346,9.734513274336283,11.504424778761061,3.5398230088495577
114,21.052631578947366,21.052631578947366,9.649122807017543,11.403508771929824,3.508771929824561
115,20.869565217391305,20.869565217391305,9.565217391304348,12.173913043478262,3.4782608695652173
116,20.689655172413794,21.551724137931032,9.482758620689655,12.068965517241379,3.4482758620689653
117,21.367521367521366,21.367521367521366,9.401709401709402,11.965811965811966,3.418803418803419
118,21.1864406779661,21.1864406779661,9.322033898305085,11.864406779661017,3.389830508474576
119,21.008403361344538,21.84873949579832,9.243697478991598,11.76470588235294,3.361344537815126
120,20.833333333333336,21.666666666666668,9.166666666666666,11.666666666666666,3.3333333333333335
121,21.487603305785125,21.487603305785125,9.090909090909092,11.570247933884298,3.3057851239669422
122,21.311475409836063,21.311475409836063,9.01639344262295,11.475409836065573,3.278688524590164
123,21.138211382113823,21.951219512195124,8.94308943089431,11.38211382113821,3.2520325203252036
