simulation,Brazil,Argentina,Spain,France,England
49,32.6530612244898,16.3265306122449,6.122448979591836,8.16326530612245,4.081632653061225
50,34.0,16.0,6.0,8.0,4.0
51,33.33333333333333,15.686274509803921,7.8431372549019605,7.8431372549019605,3.9215686274509802
52,32.69230769230769,15.384615384615385,7.6923076923076925,7.6923076923076925,3.8461538461538463
53,32.075471698113205,15.09433962264151,7.547169811320755,7.547169811320755,5.660377358490567
54,33.33333333333333,14.814814814814813,7.4074074074074066,7.4074074074074066,5.555555555555555
55,32.72727272727273,14.545454545454545,7.2727272727272725,9.090909090909092,5.454545454545454
56,32.142857142857146,14.285714285714285,7.142857142857142,10.714285714285714,5.357142857142857
57,31.57894736842105,15.789473684210526,7.017543859649122,10.526315789473683,5.263157894736842
58,32.758620689655174,15.517241379310345,6.896551724137931,10.344827586206897,5.172413793103448
59,32.20338983050847,15.254237288135593,6.779661016949152,10.16949152542373,5.084745762711865
60,31.666666666666664,16.666666666666664,6.666666666666667,10.0,5.0
61,31.147540983606557,16.39344262295082,6.557377049180328,9.836065573770492,4.918032786885246
62,30.64516129032258,16.129032258064516,8.064516129032258,9.67741935483871,4.838709677419355
63,31.746031746031743,15.873015873015872,7.936507936507936,9.523809523809524,4.761904761904762
64,32.8125,15.625,7.8125,9.375,4.6875
65,32.30769230769231,15.384615384615385,7.6923076923076925,9.230769230769232,4.615384615384616
66,31.818181818181817,15.151515151515152,7.575757575757576,10.606060606060606,4.545454545454546
67,31.343283582089555,14.925373134328357,8.955223880597014,10.44776119402985,4.477611940298507
68,30.88235294117647,14.705882352941178,8.823529411764707,10.294117647058822,4.411764705882353
69,31.88405797101449,14.492753623188406,8.695652173913043,10.144927536231885,4.3478260869565215
70,31.428571428571427,14.285714285714285,8.571428571428571,10.0,4.285714285714286
71,30.985915492957744,14.084507042253522,8.450704225352112,11.267605633802818,4.225352112676056
72,30.555555555555557,13.88888888888889,8.333333333333332,11.11111111111111,4.166666666666666
73,30.136986301369863,15.068493150684931,8.21917808219178,10.95890410958904,4.10958904109589
74,29.72972972972973,14.864864864864865,8.108108108108109,10.81081081081081,4.054054054054054
75,30.666666666666664,14.666666666666666,8.0,10.666666666666668,4.0
76,31.57894736842105,14.473684210526317,7.894736842105263,10.526315789473683,3.9473684210526314
77,31.16883116883117,14.285714285714285,7.792207792207792,10.38961038961039,3.896103896103896
78,30.76923076923077,14.102564102564102,7.6923076923076925,10.256410256410255,3.8461538461538463
79,30.37974683544304,13.924050632911392,7.59493670886076,10.126582278481013,3.79746835443038
80,30.0,13.750000000000002,7.5,10.0,5.0
81,29.629629629629626,14.814814814814813,7.4074074074074066,9.876543209876543,4.938271604938271
82,29.268292682926827,14.634146341463413,7.317073170731707,9.75609756097561,4.878048780487805
83,28.915662650602407,14.457831325301203,7.228915662650602,9.63855421686747,4.819277108433735
84,29.761904761904763,14.285714285714285,7.142857142857142,9.523809523809524,4.761904761904762
85,29.411764705882355,14.117647058823529,7.0588235294117645,9.411764705882353,5.88235294117647
86,29.069767441860467,13.953488372093023,6.976744186046512,9.30232558139535,5.813953488372093
87,28.735632183908045,13.793103448275861,6.896551724137931,9.195402298850574,6.896551724137931
88,29.545454545454547,13.636363636363635,6.8181818181818175,9.090909090909092,6.8181818181818175
89,30.337078651685395,13.48314606741573,6.741573033707865,8.98876404494382,6.741573033707865
90,30.0,14.444444444444443,6.666666666666667,8.88888888888889,6.666666666666667
91,29.67032967032967,14.285714285714285,6.593406593406594,8.791208791208792,6.593406593406594
92,29.347826086956523,15.217391304347828,6.521739130434782,8.695652173913043,6.521739130434782
93,30.107526881720432,15.053763440860216,6.451612903225806,8.60215053763441,6.451612903225806
94,29.78723404255319,14.893617021276595,6.382978723404255,9.574468085106384,6.382978723404255
95,29.47368421052631,14.736842105263156,6.315789473684211,9.473684210526317,6.315789473684211
96,29.166666666666668,14.583333333333334,7.291666666666667,9.375,6.25
97,29.896907216494846,14.432989690721648,7.216494845360824,9.278350515463918,6.185567010309279
98,29.591836734693878,15.306122448979592,7.142857142857142,9.183673469387756,6.122448979591836
99,30.303030303030305,15.151515151515152,7.07070707070707,9.090909090909092,6.0606060606060606
100,30.0,16.0,7.000000000000001,9.0,6.0
101,29.7029702970297,15.841584158415841,6.9306930693069315,8.91089108910891,5.9405940594059405
102,29.411764705882355,16.666666666666664,6.862745098039216,8.823529411764707,5.88235294117647
103,29.126213592233007,16.50485436893204,6.796116504854369,8.737864077669903,6.796116504854369
104,28.846153846153843,17.307692307692307,6.730769230769231,8.653846153846153,6.730769230769231
105,28.57142857142857,17.142857142857142,7.6190476190476195,8.571428571428571,6.666666666666667
106,28.30188679245283,16.9811320754717,7.547169811320755,8.49056603773585,6.60377358490566
107,28.037383177570092,16.822429906542055,7.476635514018691,8.411214953271028,7.476635514018691
108,27.77777777777778,16.666666666666664,7.4074074074074066,9.25925925925926,7.4074074074074066
109,27.522935779816514,17.431192660550458,7.339449541284404,9.174311926605505,7.339449541284404
110,27.27272727272727,17.272727272727273,7.2727272727272725,9.090909090909092,7.2727272727272725
111,27.027027027027028,17.117117117117118,8.108108108108109,9.00900900900901,7.207207207207207
112,26.785714285714285,16.964285714285715,8.035714285714286,9.821428571428571,7.142857142857142
113,26.548672566371685,17.699115044247787,7.964601769911504,9.734513274336283,7.079646017699115
114,26.31578947368421,17.543859649122805,8.771929824561402,9.649122807017543,7.017543859649122
115,26.08695652173913,17.391304347826086,8.695652173913043,9.565217391304348,6.956521739130435
116,25.862068965517242,17.24137931034483,8.620689655172415,9.482758620689655,6.896551724137931
117,26.495726495726498,17.094017094017094,8.547008547008547,9.401709401709402,6.837606837606838
118,26.27118644067797,16.94915254237288,8.47457627118644,9.322033898305085,6.779661016949152
119,26.05042016806723,16.80672268907563,8.403361344537815,10.084033613445378,6.722689075630252
120,25.833333333333336,17.5,8.333333333333332,10.0,6.666666666666667
121,26.446280991735538,17.355371900826448,8.264462809917356,9.917355371900827,6.6115702479338845
122,26.229508196721312,17.21311475409836,9.01639344262295,9.836065573770492,6.557377049180328
123,26.82926829268293,17.073170731707318,8.94308943089431,9.75609756097561,6.504065040650407
124,26.61290322580645,17.741935483870968,8.870967741935484,9.67741935483871,6.451612903225806
125,27.200000000000003,17.599999999999998,8.799999999999999,9.6,6.4
126,26.984126984126984,17.46031746031746,8.73015873015873,9.523809523809524,6.349206349206349
127,26.77165354330709,18.11023622047244,8.661417322834646,9.448818897637794,6.299212598425196
128,27.34375,17.96875,8.59375,9.375,6.25
129,27.906976744186046,17.829457364341085,8.527131782945736,9.30232558139535,6.2015503875969
130,28.46153846153846,17.692307692307693,8.461538461538462,9.230769230769232,6.153846153846154
131,28.24427480916031,18.3206106870229,8.396946564885496,9.16030534351145,6.106870229007633
132,28.030303030303028,18.181818181818183,8.333333333333332,9.090909090909092,6.0606060606060606
133,28.57142857142857,18.045112781954884,8.270676691729323,9.022556390977442,6.015037593984962
134,29.1044776119403,17.91044776119403,8.208955223880597,8.955223880597014,5.970149253731343
135,29.629629629629626,17.77777777777778,8.148148148148149,8.88888888888889,5.9259259259259265
136,30.14705882352941,17.647058823529413,8.088235294117647,8.823529411764707,5.88235294117647
137,29.927007299270077,17.51824817518248,8.02919708029197,8.75912408759124,6.569343065693431
138,30.434782608695656,17.391304347826086,7.971014492753622,8.695652173913043,6.521739130434782
139,30.215827338129497,17.26618705035971,8.633093525179856,8.633093525179856,6.474820143884892
140,30.0,17.142857142857142,8.571428571428571,8.571428571428571,7.142857142857142
141,30.49645390070922,17.02127659574468,8.51063829787234,8.51063829787234,7.092198581560284
142,30.28169014084507,17.6056338028169,8.450704225352112,8.450704225352112,7.042253521126761
143,30.76923076923077,17.482517482517483,8.391608391608392,8.391608391608392,6.993006993006993
144,30.555555555555557,18.055555555555554,8.333333333333332,8.333333333333332,6.944444444444445
145,30.344827586206897,18.620689655172416,8.275862068965518,8.275862068965518,6.896551724137931
146,30.82191780821918,18.493150684931507,8.21917808219178,8.21917808219178,6.8493150684931505
147,31.292517006802722,18.367346938775512,8.16326530612245,8.16326530612245,6.802721088435375
148,31.08108108108108,18.91891891891892,8.108108108108109,8.108108108108109,6.756756756756757
149,30.87248322147651,19.463087248322147,8.053691275167784,8.053691275167784,6.7114093959731544
150,30.666666666666664,20.0,8.0,8.0,6.666666666666667
151,30.4635761589404,20.52980132450331,7.9470198675496695,7.9470198675496695,6.622516556291391
152,30.263157894736842,21.052631578947366,7.894736842105263,7.894736842105263,6.578947368421052
153,30.065359477124183,20.915032679738562,7.8431372549019605,7.8431372549019605,6.535947712418301
154,30.519480519480517,20.77922077922078,7.792207792207792,7.792207792207792,6.493506493506493
155,30.32258064516129,21.29032258064516,7.741935483870968,7.741935483870968,6.451612903225806
156,30.76923076923077,21.153846153846153,7.6923076923076925,7.6923076923076925,6.41025641025641
157,30.573248407643312,21.019108280254777,7.643312101910828,8.280254777070063,6.369426751592357
158,31.0126582278481,20.88607594936709,7.59493670886076,8.227848101265822,6.329113924050633
159,30.81761006289308,20.754716981132077,7.547169811320755,8.80503144654088,6.289308176100629
160,30.625000000000004,21.25,7.5,8.75,6.25
161,31.05590062111801,21.11801242236025,7.453416149068323,8.695652173913043,6.211180124223603
162,30.864197530864196,21.604938271604937,7.4074074074074066,8.641975308641975,6.172839506172839
163,30.67484662576687,21.472392638036812,7.361963190184049,9.202453987730062,6.134969325153374
164,30.48780487804878,21.341463414634145,7.317073170731707,9.146341463414634,6.097560975609756
165,30.303030303030305,21.21212121212121,7.2727272727272725,9.090909090909092,6.0606060606060606
166,30.120481927710845,21.084337349397593,7.228915662650602,9.036144578313253,6.024096385542169
167,29.94011976047904,20.958083832335326,7.18562874251497,8.982035928143713,5.9880239520958085
168,29.761904761904763,20.833333333333336,7.142857142857142,8.928571428571429,5.952380952380952
169,29.585798816568047,20.710059171597635,7.6923076923076925,8.875739644970414,5.9171597633136095
170,29.411764705882355,20.588235294117645,7.647058823529412,8.823529411764707,5.88235294117647
171,29.239766081871345,21.052631578947366,7.602339181286549,8.771929824561402,5.847953216374268
172,29.651162790697676,20.930232558139537,7.55813953488372,8.720930232558139,5.813953488372093
173,30.057803468208093,20.809248554913296,7.514450867052023,8.670520231213873,5.780346820809249
174,29.88505747126437,20.689655172413794,7.471264367816093,8.620689655172415,5.747126436781609
175,29.714285714285715,20.57142857142857,7.428571428571429,9.142857142857142,5.714285714285714
176,29.545454545454547,20.454545454545457,7.386363636363637,9.090909090909092,5.681818181818182
177,29.943502824858758,20.33898305084746,7.344632768361582,9.03954802259887,5.649717514124294
178,30.337078651685395,20.224719101123593,7.303370786516854,8.98876404494382,5.617977528089887
179,30.16759776536313,20.11173184357542,7.82122905027933,8.938547486033519,5.58659217877095
180,30.0,20.0,8.333333333333332,8.88888888888889,5.555555555555555
181,29.83425414364641,19.88950276243094,8.287292817679557,8.83977900552486,5.524861878453039
182,29.67032967032967,19.78021978021978,8.241758241758241,8.791208791208792,5.4945054945054945
183,29.508196721311474,20.21857923497268,8.19672131147541,8.743169398907105,5.46448087431694
184,29.347826086956523,20.108695652173914,8.695652173913043,8.695652173913043,5.434782608695652
185,29.18918918918919,20.0,8.64864864864865,8.64864864864865,5.405405405405405
186,29.56989247311828,19.892473118279568,8.60215053763441,8.60215053763441,5.376344086021505
187,29.411764705882355,19.786096256684495,8.55614973262032,8.55614973262032,5.347593582887701
188,29.78723404255319,19.680851063829788,8.51063829787234,8.51063829787234,5.319148936170213
189,30.158730158730158,19.576719576719576,8.465608465608465,8.465608465608465,5.291005291005291
190,30.0,20.0,8.421052631578947,8.421052631578947,5.263157894736842
191,30.36649214659686,19.895287958115183,8.37696335078534,8.37696335078534,5.2356020942408374
192,30.208333333333332,19.791666666666664,8.333333333333332,8.333333333333332,5.729166666666666
193,30.569948186528496,19.689119170984455,8.290155440414509,8.290155440414509,5.699481865284974
194,30.927835051546392,19.587628865979383,8.24742268041237,8.24742268041237,5.670103092783505
195,30.76923076923077,20.0,8.205128205128204,8.205128205128204,5.641025641025641
196,30.612244897959183,20.408163265306122,8.16326530612245,8.16326530612245,5.612244897959184
197,30.456852791878177,20.304568527918782,8.121827411167512,8.121827411167512,5.583756345177665
198,30.808080808080806,20.2020202020202,8.080808080808081,8.080808080808081,5.555555555555555
199,30.65326633165829,20.603015075376884,8.040201005025125,8.040201005025125,5.527638190954774
200,31.0,20.5,8.0,8.0,5.5
201,31.343283582089555,20.398009950248756,7.960199004975125,7.960199004975125,5.472636815920398
202,31.18811881188119,20.792079207920793,7.920792079207921,7.920792079207921,5.445544554455446
203,31.03448275862069,20.689655172413794,7.8817733990147785,7.8817733990147785,5.41871921182266
204,30.88235294117647,21.07843137254902,7.8431372549019605,7.8431372549019605,5.392156862745098
205,30.73170731707317,20.975609756097562,8.292682926829269,7.804878048780488,5.365853658536586
206,31.06796116504854,20.87378640776699,8.25242718446602,7.766990291262135,5.339805825242718
207,31.40096618357488,20.77294685990338,8.212560386473431,7.729468599033816,5.314009661835748
208,31.25,20.673076923076923,8.173076923076923,8.173076923076923,5.288461538461538
209,31.100478468899524,21.052631578947366,8.133971291866029,8.133971291866029,5.263157894736842
210,30.952380952380953,21.428571428571427,8.095238095238095,8.095238095238095,5.238095238095238
211,30.80568720379147,21.32701421800948,8.056872037914692,8.056872037914692,5.213270142180095
212,31.132075471698112,21.22641509433962,8.018867924528301,8.018867924528301,5.188679245283019
213,30.985915492957744,21.5962441314554,7.981220657276995,7.981220657276995,5.164319248826291
214,31.308411214953267,21.49532710280374,7.943925233644859,7.943925233644859,5.14018691588785
215,31.16279069767442,21.3953488372093,7.906976744186046,7.906976744186046,5.5813953488372094
216,31.48148148148148,21.296296296296298,7.87037037037037,7.87037037037037,5.555555555555555
217,31.797235023041477,21.19815668202765,7.834101382488479,7.834101382488479,5.529953917050691
218,31.65137614678899,21.55963302752294,7.79816513761468,7.79816513761468,5.5045871559633035
219,31.506849315068493,21.461187214611872,7.76255707762557,7.76255707762557,5.47945205479452
