team,Group Stage,Round of 32,Round of 16,Quarterfinal,Semifinal,Runner-up,Champion
Spain,0.13,21.17,18.54,15.620000000000001,12.920000000000002,10.2,21.42
Argentina,0.8500000000000001,22.25,18.89,16.48,12.839999999999998,9.21,19.48
France,3.11,25.85,21.82,16.939999999999998,12.509999999999998,8.260000000000002,11.51
England,2.1399999999999997,34.050000000000004,25.080000000000002,16.41,10.36,6.16,5.800000000000001
Brazil,1.22,33.18,24.94,17.299999999999997,11.360000000000001,6.41,5.59
