team,win_pct
Brazil,28.46
Argentina,16.939999999999998
Spain,8.63
France,8.32
England,6.76
Belgium,5.64
Netherlands,5.19
Portugal,4.72
Germany,4.36
Switzerland,2.03
Denmark,1.7500000000000002
Uruguay,1.63
Croatia,1.6
Mexico,0.75
Japan,0.7000000000000001
Serbia,0.52
South Korea,0.38
Iran,0.36
Ecuador,0.33
Poland,0.31
United States,0.2
Australia,0.09
Morocco,0.08
Costa Rica,0.06
Senegal,0.05
Saudi Arabia,0.04
Qatar,0.03
Tunisia,0.03
Cameroon,0.03
Wales,0.01
Canada,0.0
Ghana,0.0
